filename, Lep, Non Lep
Non_Leprosy_210823_74_jpg.rf.f9c5dfd6d2e456064e4279458f20c579.jpg, 0, 1
Leprosy_210823_41_jpg.rf.f9d7bd2d40e63d1eb128663a82c8a8ab.jpg, 1, 0
Leprosy_210823_0_jpg.rf.f9e119d72276c0faa837121b081f3b90.jpg, 1, 0
Leprosy-45_jpg.rf.fa15f3a9e3becfa43847597b06dfe974.jpg, 1, 0
Leprosy_----------_210823_0_jpg.rf.fa4badfb1d5ac751e21deba3a7be825d.jpg, 1, 0
Leprosy-18_jpg.rf.fa4fbe51d8112b9f75370edc68d1bc01.jpg, 1, 0
Leprosy_190463_210823_5_jpg.rf.fa7037621668eed659dc8c7ab63979f2.jpg, 1, 0
Non-lep----------_210823_52_jpg.rf.fa7b40700b8ce99f9e49e50f6eb820eb.jpg, 0, 1
Leprosy_-----------_210823_1_jpg.rf.faacea9dab630c944906f3c82975969a.jpg, 1, 0
Leprosy150963_210823_20_jpg.rf.faf7cc7cff3d9e91c4a69fbd07f2576d.jpg, 1, 0
Leprosy150963_210823_49_jpg.rf.fb1df18b5f04e1c4515a07a1ad7240d5.jpg, 1, 0
leprosy_-----------_210823_4_jpg.rf.fb3f02a7b3ad5059b0357b582b310227.jpg, 1, 0
Leprosy_210823_185_jpg.rf.fb94ae1eff402f88b38169881b32380f.jpg, 1, 0
Non_Leprosy_210823_0_jpg.rf.fb4b400685ba78c233b74166ea8a8953.jpg, 0, 1
Leprosy_210823_90_jpg.rf.fb94cee438d86b92763c04cda8400e5a.jpg, 1, 0
Non_Leprosy_210823_53_jpg.rf.fc20dd897b2619582ba9cdce5c4e6bd6.jpg, 0, 1
Leprosy150963_210823_113_jpg.rf.fc5fb58795134a356da8669a90c31441.jpg, 1, 0
Leprosy_210823_28_jpg.rf.fc73042dba86a501cf33142f77468d46.jpg, 1, 0
Leprosy_210823_24_jpg.rf.fc596f9b64ce29774636e6d483b6304a.jpg, 1, 0
Leprosy150963_210823_131_jpg.rf.fd3c0cc8e09794a158297e3dafe0570a.jpg, 1, 0
Leprosy_210823_169_jpg.rf.fdae4a0ca44bd028f9f66a09be7550b2.jpg, 1, 0
Non_Leprosy_210823_97_jpg.rf.fc5b7a005da09800de855e065fbfb6ec.jpg, 0, 1
Leprosy_210823_140_jpg.rf.fcb3657ec20488a3d68b0b5eeee287d7.jpg, 1, 0
Leprosy_-----------_210823_5_jpg.rf.fd3075b6e828cd7c9ee33a5e29757650.jpg, 1, 0
Non_Leprosy_210823_80_jpg.rf.fd797e9a494b6b6d020cbd39e6dc9614.jpg, 0, 1
Leprosy_-------_210823_14_jpg.rf.fdf5cb66bb1cb50832c69cafdc0c518d.jpg, 1, 0
Leprosy_----------_210823_22_jpg.rf.fe1ec511d66778dd471d2b57ec753602.jpg, 1, 0
Non-Leprosy-07_jpg.rf.fe497e95dccfa497a5d28f4970decc44.jpg, 0, 1
Leprosy150963_210823_23_jpg.rf.fe704c674397ce067020b4fd0a73dcd1.jpg, 1, 0
Leprosy150963_210823_100_jpg.rf.ff85d4834a07d3c4c9779454b3e3e2d5.jpg, 1, 0
Leprosy_210823_52_jpg.rf.ff489fe1430da3249acbd307305b2b5b.jpg, 1, 0
Leprosy_210823_139_jpg.rf.ff3b6782e9b8e8c27d66414442034a30.jpg, 1, 0
Non_Leprosy_210823_53_jpg.rf.ff029655d5ff75a96c49e10e2d4d0b5b.jpg, 0, 1
Leprosy150963_210823_108_jpg.rf.ffd7cd62c814e3bc3271ecf022c2faa3.jpg, 1, 0
Leprosy150963_210823_127_jpg.rf.ffe26c5e26e0376a00c692e93ef23ca3.jpg, 1, 0
Non_Leprosy_210823_78_jpg.rf.ff972016e8eae05aec08af8fcdecddd4.jpg, 0, 1
Leprosy150963_210823_77_jpg.rf.244e1ff3e73199ebad8638ff905bc5a3.jpg, 1, 0
Leprosy_-----------_210823_15_jpg.rf.245b3365fc676b1695e34e75bc98dc1b.jpg, 1, 0
Leprosy_210823_157_jpg.rf.24782e67f6bd9d4f4e4afd7631f5d7c9.jpg, 1, 0
Non-lep----------_210823_17_jpg.rf.249a63a654fc9a81ddfaae199d20948e.jpg, 0, 1
Leprosy_210823_116_jpg.rf.24a30288289d4ebd1897fdbe26241f83.jpg, 1, 0
Leprosy_----------_210823_0_jpg.rf.24f3f862e9c1a850e3e9e5f8846cecfa.jpg, 1, 0
Non-lep----------_210823_27_jpg.rf.24fd8c6eb62711d9fbd18a55c10097ea.jpg, 0, 1
Non-lep----------_210823_54_jpg.rf.253db4d9d2a0a64d39e06d3050adb7f7.jpg, 0, 1
Leprosy_210823_19_jpg.rf.25b63bc1c89e8d6fdfb2cf3fb1c92f14.jpg, 1, 0
Non-lep----------_210823_21_jpg.rf.25ba3ad98afa18f0a8192ff836dd3f2a.jpg, 0, 1
Leprosy_210823_83_jpg.rf.25d826418c725259251e139968c989a6.jpg, 1, 0
Non_Leprosy_210823_25_jpg.rf.2652c3460f5353e65c41b2e3d99eb9d9.jpg, 0, 1
Leprosy_----------_210823_19_jpg.rf.265f70a47429587980c3f22ac8c15731.jpg, 1, 0
Leprosy_140664_210823_6_jpg.rf.2669c51c0a7576ef9df4da56eee0254e.jpg, 1, 0
Leprosy150963_210823_12_jpg.rf.267865be1d35254d009ff8a57835e2ed.jpg, 1, 0
Leprosy150963_210823_33_jpg.rf.2686d3a7bf572727ab152b73301bddbb.jpg, 1, 0
Leprosy_210823_179_jpg.rf.267843dde9bebc13abe08a5890659fa3.jpg, 1, 0
Leprosy_210823_25_jpg.rf.26c67f1e9dd328612eb38f7aa8103e4f.jpg, 1, 0
Leprosy150963_210823_43_jpg.rf.26e1240332c32315c71b6afab6d041d0.jpg, 1, 0
Leprosy_210823_0_jpg.rf.26da834de20da36b7c94007668facb52.jpg, 1, 0
Leprosy150963_210823_50_jpg.rf.271a419bf93fd78ca6d5b43d50d7c4f3.jpg, 1, 0
Leprosy-46_jpg.rf.273c4d4eba997b8e951779643a9df6fd.jpg, 1, 0
Leprosy_-------_210823_6_jpg.rf.2782798d1b038f23655b55865c81dbba.jpg, 1, 0
Non_Leprosy_210823_42_jpg.rf.27430fc5698cec612d704d69500f3895.jpg, 0, 1
Leprosy150963_210823_28_jpg.rf.278f96e68422e6c3620b9431051bbf32.jpg, 1, 0
Leprosy150963_210823_9_jpg.rf.28770083a504a15b34230e17afc6500a.jpg, 1, 0
Leprosy150963_210823_121_jpg.rf.28ecf2af4d44754ab225ed48186efd8f.jpg, 1, 0
Leprosy_210823_103_jpg.rf.27e625698f3da40684ab52c13ceeb347.jpg, 1, 0
Leprosy_210823_18_jpg.rf.294b11dedccedd76a26810eba9061d09.jpg, 1, 0
Leprosy_210823_157_jpg.rf.28e64b81f86fe238f7f2694fb1c027d5.jpg, 1, 0
Non-lep----------_210823_46_jpg.rf.29e2407f00ba6afb174f17da64447846.jpg, 0, 1
Leprosy150963_210823_46_jpg.rf.27ab1b3d40c4423d9ddad44419b06302.jpg, 1, 0
Leprosy_210823_172_jpg.rf.29a5fc3d30982bad49453d350ac4808a.jpg, 1, 0
Non_Leprosy_210823_4_jpg.rf.29abac587be90f9b1881fa76df5206a7.jpg, 0, 1
Non-lep----------_210823_26_jpg.rf.2a26c86f4b67bebfd19379945650e879.jpg, 0, 1
Leprosy_140664_210823_1_jpg.rf.28b9e8e81a2fafdca1812212fbe3f217.jpg, 1, 0
Leprosy_----------_210823_3_jpg.rf.2a9d7393bf4c8345bf845351937ee00c.jpg, 1, 0
Leprosy_-------_210823_8_jpg.rf.29d41bc1e61cf0c317a5572330141807.jpg, 1, 0
Leprosy_210823_122_jpg.rf.2b83fe661997d5c5fb7e0749b9015d66.jpg, 1, 0
Non-lep----------_210823_30_jpg.rf.2b26ad764142101cd3da8daf10d64c82.jpg, 0, 1
Leprosy_210823_216_jpg.rf.296b49d020ea323677995bc7485b58d8.jpg, 1, 0
Leprosy_210823_160_jpg.rf.2a1ca898d43021512732057bb9c3035b.jpg, 1, 0
Leprosy-26_jpg.rf.28da8afe3446f12a94ad71e45d63b98a.jpg, 1, 0
Leprosy_210823_140_jpg.rf.29ab9c1fc471d1d51cbaf1c8edcd0ea6.jpg, 1, 0
Leprosy_210823_124_jpg.rf.2c74884e2cd3b9a0ac40a72431f6e9ca.jpg, 1, 0
Leprosy_210823_38_jpg.rf.2b5da352179406606bbf7519e931e4ed.jpg, 1, 0
Leprosy_210823_130_jpg.rf.2a00e85eb750788e05241595a680fa11.jpg, 1, 0
Leprosy150963_210823_80_jpg.rf.29540f298dcd47d2c68697713843bcfd.jpg, 1, 0
Leprosy_-----------_210823_0_jpg.rf.2adaf41d068786814f81302968be9ef1.jpg, 1, 0
Leprosy150963_210823_45_jpg.rf.2ba0ff4fbcbdfeeca904bee996f47c42.jpg, 1, 0
Non_Leprosy_210823_32_jpg.rf.2c83858aa3082a401046f34ad0993e98.jpg, 0, 1
Leprosy_----------_210823_17_jpg.rf.2c977b1a7c9e080b687c1eb51c9a44dd.jpg, 1, 0
Non_Leprosy_210823_56_jpg.rf.2a14ca800f639a6efc497bd29d99db0e.jpg, 0, 1
Non_Leprosy_210823_39_jpg.rf.2d7d986d69479549797125d89a23db32.jpg, 0, 1
Leprosy_210823_59_jpg.rf.2de5373621dddc19ccb483172749f5ba.jpg, 1, 0
Leprosy-39_jpg.rf.2defb7fcefff26341cc434a582641bd3.jpg, 1, 0
Leprosy_210823_197_jpg.rf.2df371c58a595d4bd8f433ace3aca913.jpg, 1, 0
Leprosy150963_210823_21_jpg.rf.2e0fc62fcfff7ae4040d00895734b5c9.jpg, 1, 0
Leprosy_210823_10_jpg.rf.2e0ea241704148829c3344feeb009a75.jpg, 1, 0
Leprosy_210823_190_jpg.rf.2e5affdfcf66329982b30602dccbf019.jpg, 1, 0
Leprosy_210823_144_jpg.rf.2e64a3628adb7454a48ea993c99720c8.jpg, 1, 0
Non-lep----------_210823_28_jpg.rf.2eef570178185697361d4c7af5ac89ca.jpg, 0, 1
Leprosy_210823_25_jpg.rf.2e6c2709aebdac76d10db31c89108436.jpg, 1, 0
Leprosy-76_jpg.rf.2fe2db1026fd027027da4553b8510ccc.jpg, 1, 0
Non_Leprosy_210823_50_jpg.rf.2ed3db5b02408b82097c68e9ce0de53c.jpg, 0, 1
Leprosy-86_jpg.rf.2ebe6560c7eff514b3e772eca88c0c7d.jpg, 1, 0
Leprosy150963_210823_34_jpg.rf.2df3d0b26eebd720a16fd8595f26f597.jpg, 1, 0
Leprosy150963_210823_27_jpg.rf.2f75701a3ceb45749239465ab1f18db1.jpg, 1, 0
Leprosy150963_210823_77_jpg.rf.2fcaa40f41cd1d903af5da46a4b9a3fc.jpg, 1, 0
Non_Leprosy_210823_54_jpg.rf.2ee22b019d473f62c61c82dc3776baae.jpg, 0, 1
Leprosy150963_210823_110_jpg.rf.2fe69a064d16b1c436f5a152d8b451fb.jpg, 1, 0
Leprosy-10_jpg.rf.2fbc4f109679a2fd6453c8c3b40481b9.jpg, 1, 0
Non_Leprosy_210823_85_jpg.rf.2f3a1bfeffac486b505c65115f389567.jpg, 0, 1
Leprosy_----------_210823_15_jpg.rf.2fb0eb473658108689ea19d0177b0bca.jpg, 1, 0
leprosy_-----------_210823_3_jpg.rf.2f43066e1bd9b1c1b468c9bd248ad28f.jpg, 1, 0
Non_Leprosy_210823_64_jpg.rf.3005305e7d660e7ca5e144fc8a3d5730.jpg, 0, 1
Leprosy-08_jpg.rf.2f3e0605e91cabc60a88705c30983c56.jpg, 1, 0
Non_Leprosy_210823_82_jpg.rf.309c79ccb3b926718585a229a0f4b814.jpg, 0, 1
Non-lep----------_210823_53_jpg.rf.2dbbff26fe1c7e9c998b885df9f1bbbb.jpg, 0, 1
Non-lep----------_210823_51_jpg.rf.30f3b0877a85d1d31577df26d240af04.jpg, 0, 1
Non_Leprosy_210823_23_jpg.rf.32e7d3bd1565a087f41176d71021e98c.jpg, 0, 1
Leprosy-68_jpg.rf.3147a3255d301bcffa9afb7872a8d253.jpg, 1, 0
Leprosy_-------_210823_0_jpg.rf.305dc1bc392355af2f18eee7fd8f3c02.jpg, 1, 0
Non_Leprosy_210823_77_jpg.rf.32c879b89d216ec576b4cb042b1985e3.jpg, 0, 1
Non-lep----------_210823_45_jpg.rf.30fa03d27c129e48901ff2aea3a1a976.jpg, 0, 1
Leprosy_190463_210823_1_jpg.rf.31646699d74e856feefba6251bc43044.jpg, 1, 0
Non_Leprosy_210823_9_jpg.rf.307494b1234aebe02a13f61a18665ed4.jpg, 0, 1
Leprosy_210823_183_jpg.rf.318361a9d2586c7c39aaf9ea7a4d747b.jpg, 1, 0
Leprosy_210823_191_jpg.rf.3229fd7d9e066ddd2244fb33ffcf1dc5.jpg, 1, 0
Leprosy_210823_202_jpg.rf.32bd6aa00e2348a108d2f25b1ef2b928.jpg, 1, 0
Leprosy150963_210823_35_jpg.rf.32c99c83d2949e1e0799229811352501.jpg, 1, 0
Leprosy150963_210823_23_jpg.rf.3358b791945cf2399d722fc252caacdd.jpg, 1, 0
Leprosy-17_jpg.rf.31e49d882da1486502447ce4909de4f4.jpg, 1, 0
Leprosy150963_210823_65_jpg.rf.338f09685d7e9c2cc42c298321e0e3c7.jpg, 1, 0
Leprosy150963_210823_109_jpg.rf.342ee841242aedb4697f530fe1629d0b.jpg, 1, 0
Leprosy_210823_0_jpg.rf.345ddf951827c6ecbf70632cc0e3b033.jpg, 1, 0
Non-lep----------_210823_50_jpg.rf.3449e9069a6b037cad1b0456148e6a9b.jpg, 0, 1
Non_Leprosy_210823_94_jpg.rf.3462d0bd7bd802e9800adbeb6a23d06d.jpg, 0, 1
Leprosy_210823_138_jpg.rf.34a04c941788b3319696f1e19c27d755.jpg, 1, 0
Non_Leprosy_210823_65_jpg.rf.340bfdaff33227c7bf4f4320451b5a62.jpg, 0, 1
Non-lep----------_210823_65_jpg.rf.33ef20d69fe2ca5e1c91335b388d7a43.jpg, 0, 1
Non_Leprosy_210823_101_jpg.rf.344566643ff718330cfdf35fe416fcb1.jpg, 0, 1
Non-lep----------_210823_74_jpg.rf.346862a0742c4c98d604baeb629d2aee.jpg, 0, 1
Leprosy_210823_49_jpg.rf.31a3637b24b57e9b16c0cd1c0602cb8c.jpg, 1, 0
Non_Leprosy_210823_26_jpg.rf.34e91138a3c970d0dbd8ac68dfb08394.jpg, 0, 1
Non-lep----------_210823_22_jpg.rf.353755664787000fae5e5a836e516f25.jpg, 0, 1
Leprosy150963_210823_17_jpg.rf.35f144e9198f629c35363b4d3303d29c.jpg, 1, 0
Leprosy_190463_210823_0_jpg.rf.35aefc2e02c88d45624df75d389df7d7.jpg, 1, 0
Non_Leprosy_210823_49_jpg.rf.362d91024830fc7417c10f51289a3fd3.jpg, 0, 1
Leprosy_140664_210823_9_jpg.rf.368a85bec3baa169b7148cf122d769ab.jpg, 1, 0
Leprosy_140664_210823_2_jpg.rf.328f8341113acce5dcd24e83c35edac5.jpg, 1, 0
Leprosy150963_210823_61_jpg.rf.34b7c112c864db7b11c4c93f0d5f70f5.jpg, 1, 0
Non-lep----------_210823_22_jpg.rf.35681db1048ef3c7826d839459f5215e.jpg, 0, 1
Leprosy_190463_210823_6_jpg.rf.3677c388b42b09bcd8b4dc5fbb1f6b66.jpg, 1, 0
Leprosy-43_jpg.rf.367a43c3e947faaada7093154b801440.jpg, 1, 0
Leprosy-64_jpg.rf.376cc016c3cafd2361da4e07800ad8b7.jpg, 1, 0
Leprosy_210823_40_jpg.rf.379abd5d29c092ce6c5d8a8394600a81.jpg, 1, 0
Leprosy-19_jpg.rf.37c372d064bc0e82ba69325a5167b2c2.jpg, 1, 0
